config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
174,0.05,0.005,0.8,0.12,0.00012,0.7,80,True,0.5374,0.5184,0.5298,2.29
175,0.05,0.005,0.8,0.12,0.00012,0.7,100,False,0.5368,0.5189,0.5296,2.86
176,0.05,0.005,0.8,0.12,0.00012,0.7,100,True,0.6400,0.5093,0.5877,2.87
177,0.05,0.005,0.8,0.12,0.00015,0.4,80,False,0.6735,0.5816,0.6368,2.29
178,0.05,0.005,0.8,0.12,0.00015,0.4,80,True,0.4655,0.4706,0.4675,2.29
179,0.05,0.005,0.8,0.12,0.00015,0.4,100,False,0.6435,0.5844,0.6198,2.86
180,0.05,0.005,0.8,0.12,0.00015,0.4,100,True,0.5936,0.5247,0.5660,2.86
181,0.05,0.005,0.8,0.12,0.00015,0.5,80,False,0.6144,0.5491,0.5883,2.29
182,0.05,0.005,0.8,0.12,0.00015,0.5,80,True,0.5966,0.5701,0.5860,2.29
183,0.05,0.005,0.8,0.12,0.00015,0.5,100,False,0.5736,0.5093,0.5479,2.86
184,0.05,0.005,0.8,0.12,0.00015,0.5,100,True,0.5911,0.5254,0.5648,2.87
185,0.05,0.005,0.8,0.12,0.00015,0.6,80,False,0.5401,0.4922,0.5209,2.29
186,0.05,0.005,0.8,0.12,0.00015,0.6,80,True,0.5791,0.4737,0.5369,2.29
187,0.05,0.005,0.8,0.12,0.00015,0.6,100,False,0.6833,0.5508,0.6303,2.86
188,0.05,0.005,0.8,0.12,0.00015,0.6,100,True,0.6337,0.6092,0.6239,2.86
189,0.05,0.005,0.8,0.12,0.00015,0.7,80,False,0.5220,0.4667,0.4999,2.29
190,0.05,0.005,0.8,0.12,0.00015,0.7,80,True,0.5409,0.4866,0.5192,2.29
191,0.05,0.005,0.8,0.12,0.00015,0.7,100,False,0.4946,0.4736,0.4862,2.30
192,0.05,0.005,0.8,0.12,0.00015,0.7,100,True,0.6043,0.5638,0.5881,2.86
193,0.05,0.005,0.8,0.15,8e-05,0.4,80,False,0.6207,0.5633,0.5977,2.29
194,0.05,0.005,0.8,0.15,8e-05,0.4,80,True,0.6027,0.5515,0.5822,2.29
195,0.05,0.005,0.8,0.15,8e-05,0.4,100,False,0.6234,0.5591,0.5977,2.86
196,0.05,0.005,0.8,0.15,8e-05,0.4,100,True,0.2012,0.4261,0.2912,2.86
197,0.05,0.005,0.8,0.15,8e-05,0.5,80,False,0.5756,0.4948,0.5433,2.29
198,0.05,0.005,0.8,0.15,8e-05,0.5,80,True,0.1739,0.3568,0.2471,2.29
199,0.05,0.005,0.8,0.15,8e-05,0.5,100,False,0.3173,0.3835,0.3438,2.86
200,0.05,0.005,0.8,0.15,8e-05,0.5,100,True,0.5342,0.5502,0.5406,2.86
201,0.05,0.005,0.8,0.15,8e-05,0.6,80,False,0.5728,0.4989,0.5432,2.29
202,0.05,0.005,0.8,0.15,8e-05,0.6,80,True,0.6081,0.5734,0.5942,2.29
203,0.05,0.005,0.8,0.15,8e-05,0.6,100,False,0.6342,0.5443,0.5982,2.86
204,0.05,0.005,0.8,0.15,8e-05,0.6,100,True,0.2785,0.3690,0.3147,2.30
205,0.05,0.005,0.8,0.15,8e-05,0.7,80,False,0.6697,0.5883,0.6371,2.29
206,0.05,0.005,0.8,0.15,8e-05,0.7,80,True,0.5062,0.5062,0.5062,2.29
207,0.05,0.005,0.8,0.15,8e-05,0.7,100,False,0.6596,0.5643,0.6214,2.86
208,0.05,0.005,0.8,0.15,8e-05,0.7,100,True,0.6188,0.5513,0.5918,2.86
209,0.05,0.005,0.8,0.15,0.0001,0.4,80,False,0.5499,0.5828,0.5631,2.29
