task_id,config_id,alpha,beta,gamma,delta,lr,sigma,epochs,use_scheduler,ari,nmi,score,time
1,400,0.03,0.003,0.8,0.1,0.00012,0.6,250,True,0.6337,0.5989,0.6198,6.32
1,401,0.03,0.003,0.8,0.12,8e-05,0.4,250,False,0.6652,0.5988,0.6386,6.32
1,402,0.03,0.003,0.8,0.12,8e-05,0.4,250,True,0.6228,0.5682,0.6010,6.89
1,403,0.03,0.003,0.8,0.12,8e-05,0.45,250,False,0.6142,0.5707,0.5968,7.17
1,404,0.03,0.003,0.8,0.12,8e-05,0.45,250,True,0.5659,0.5447,0.5574,7.17
1,405,0.03,0.003,0.8,0.12,8e-05,0.5,250,False,0.4174,0.4698,0.4383,7.17
1,406,0.03,0.003,0.8,0.12,8e-05,0.5,250,True,0.6432,0.5895,0.6217,7.17
1,407,0.03,0.003,0.8,0.12,8e-05,0.55,250,False,0.6339,0.5874,0.6153,7.17
1,408,0.03,0.003,0.8,0.12,8e-05,0.55,250,True,0.5582,0.5567,0.5576,7.17
1,409,0.03,0.003,0.8,0.12,8e-05,0.6,250,False,0.6144,0.5305,0.5809,5.75
1,410,0.03,0.003,0.8,0.12,8e-05,0.6,250,True,0.5926,0.4988,0.5551,7.17
1,411,0.03,0.003,0.8,0.12,9e-05,0.4,250,False,0.6881,0.6169,0.6596,7.17
1,412,0.03,0.003,0.8,0.12,9e-05,0.4,250,True,0.6241,0.5778,0.6056,6.32
1,413,0.03,0.003,0.8,0.12,9e-05,0.45,250,False,0.4075,0.4037,0.4059,4.60
1,414,0.03,0.003,0.8,0.12,9e-05,0.45,250,True,0.6150,0.5889,0.6045,7.17
1,415,0.03,0.003,0.8,0.12,9e-05,0.5,250,False,0.6043,0.5485,0.5820,6.32
1,416,0.03,0.003,0.8,0.12,9e-05,0.5,250,True,0.6386,0.5683,0.6105,7.17
1,417,0.03,0.003,0.8,0.12,9e-05,0.55,250,False,0.6728,0.5496,0.6235,7.18
1,418,0.03,0.003,0.8,0.12,9e-05,0.55,250,True,0.4825,0.4615,0.4741,6.32
1,419,0.03,0.003,0.8,0.12,9e-05,0.6,250,False,0.5306,0.5094,0.5221,7.17
1,420,0.03,0.003,0.8,0.12,9e-05,0.6,250,True,0.6091,0.5794,0.5972,7.17
1,421,0.03,0.003,0.8,0.12,0.0001,0.4,250,False,0.6622,0.5716,0.6259,5.17
